,measure,year,month,sector,floor_size,district,elevation,floors,built,tmp_min,tmp_mean,tmp_max,cost,source
0,0,2014,5.0,commercial,539.0,6,172.0,4,2009,23.2,4225.76,4225.76,4225.76,1
1,1,2008,11.0,education,351.0,6,117.0,1,1979,13.8,274.2,274.2,274.2,2
2,2,2014,10.0,commercial,301.0,7,12.0,2,1920,14.8,1112.99,1112.99,1112.99,3
3,3,2012,12.0,commercial,372.0,6,55.0,3,1997,6.2,1113.99,1113.99,1113.99,2
4,4,2014,7.0,residential,256.0,8,-7.0,19,2005,24.4,4456.75,4456.75,4456.75,1
5,5,2013,6.0,residential,460.0,7,55.0,21,1967,26.4,7205.15,7205.15,7205.15,3
6,6,2009,1.0,factory,520.0,7,117.0,2,1964,7.8,556.14,556.14,556.14,2
7,7,2011,7.0,commercial,232.0,5,172.0,3,1976,20.8,883.84,883.84,883.84,2
8,8,2011,9.0,office,399.0,5,37.0,15,1922,21.2,6404.91,6404.91,6404.91,1
9,9,2013,9.0,office,741.0,2,55.0,9,2004,22.3,8627.02,8627.02,8627.02,1
10,10,2008,4.0,office,279.0,6,12.0,18,1945,20.8,5905.87,5905.87,5905.87,1
11,11,2006,9.0,factory,520.0,7,117.0,2,1964,19.3,1054.87,1054.87,1054.87,1
12,12,2008,9.0,commercial,624.0,6,55.0,6,1978,18.4,4630.58,4630.58,4630.58,3
13,13,2012,7.0,office,557.0,6,37.0,7,1925,23.6,5676.94,5676.94,5676.94,1
14,14,2012,1.0,residential,924.0,7,203.0,25,1931,10.6,17046.76,17046.76,17046.76,2
15,15,2014,7.0,commercial,596.0,1,337.0,6,1984,25.2,6448.24,6448.24,6448.24,1
16,16,2012,1.0,residential,317.0,6,203.0,28,1999,10.3,9394.36,9394.36,9394.36,1
17,17,2007,6.0,commercial,539.0,6,172.0,4,2009,26.1,3549.64,3549.64,3549.64,1
18,18,2008,2.0,office,1218.0,5,172.0,23,1959,14.2,32834.65,32834.65,32834.65,1
19,19,2006,4.0,commercial,351.0,3,203.0,5,1946,19.1,143.96,143.96,143.96,2
20,20,2005,9.0,commercial,529.0,8,117.0,2,1938,19.6,2094.42,2094.42,2094.42,1
21,21,2012,10.0,education,411.0,4,172.0,2,1949,15.5,611.57,611.57,611.57,2
22,22,2014,7.0,education,656.6619098651926,7,12.0,5,1983,27.7,2193.16,2193.16,2193.16,3
23,23,2012,1.0,office,656.6619098651926,7,37.0,4,1991,9.0,1982.94,1982.94,1982.94,3
24,24,2012,9.0,commercial,442.0,1,172.0,5,1953,23.0,3292.02,3292.02,3292.02,1
25,25,2012,3.0,commercial,233.0,7,51.0,12,1949,16.5,3565.24,3565.24,3565.24,1
26,26,2012,1.0,residential,1172.0,8,12.0,2,1997,9.9,1177.16,1177.16,1177.16,2
27,27,2006,11.0,factory,595.0,7,37.0,1,1999,8.7,745.08,745.08,745.08,3
28,28,2005,11.0,education,525.0,8,117.0,1,1993,11.1,855.19,855.19,855.19,1
29,29,2006,12.0,commercial,776.0,7,117.0,3,2002,6.0,2323.81,2323.81,2323.81,2
30,30,2014,12.0,commercial,831.0,8,172.0,2,1933,4.7,2758.02,2758.02,2758.02,3
31,31,2014,6.0,commercial,437.0,1,-7.0,3,1960,24.6,1374.07,1374.07,1374.07,2
32,32,2014,6.0,commercial,615.0,6,172.0,5,1998,24.5,2669.1,2669.1,2669.1,2
33,33,2009,9.0,education,508.0,2,19.0,3,2006,20.9,1184.88,1184.88,1184.88,2
34,34,2008,10.0,commercial,435.0,6,203.0,6,1925,19.4,1925.66,1925.66,1925.66,2
35,35,2011,7.0,office,331.0,1,55.0,19,1964,25.4,6339.31,6339.31,6339.31,1
36,36,2005,5.0,office,956.0,2,51.0,13,2002,24.2,11196.39,11196.39,11196.39,3
37,37,2012,10.0,office,956.0,2,51.0,13,2002,17.1,9760.58,9760.58,9760.58,3
38,38,2013,12.0,factory,987.0,5,203.0,2,1934,7.7,1659.82,1659.82,1659.82,1
39,39,2012,9.0,education,299.0,6,37.0,5,1936,19.6,1496.01,1496.01,1496.01,3
40,40,2006,4.0,factory,323.0,5,117.0,3,1963,19.0,659.21,659.21,659.21,2
41,41,2014,6.0,office,258.0,4,117.0,11,1950,25.4,4004.99,4004.99,4004.99,1
42,42,2010,9.0,education,911.0,5,172.0,1,1986,21.4,853.12,853.12,853.12,3
43,43,2008,12.0,commercial,524.0,6,117.0,3,1929,9.8,3035.59,3035.59,3035.59,3
44,44,2006,5.0,commercial,442.0,1,172.0,5,1953,22.0,3638.54,3638.54,3638.54,1
45,45,2011,12.0,education,837.0,5,203.0,3,1934,9.9,2608.92,2608.92,2608.92,2
46,46,2006,5.0,commercial,129.0,1,337.0,2,1952,24.5,270.41,270.41,270.41,2
47,47,2008,11.0,residential,486.0,2,-7.0,17,2006,11.9,10993.09,10993.09,10993.09,1
48,48,2008,10.0,commercial,157.0,6,12.0,3,1921,19.9,583.69,583.69,583.69,3
49,49,2012,11.0,commercial,184.0,4,-7.0,2,1926,13.6,549.5,549.5,549.5,3
50,50,2011,8.0,office,968.0,3,-7.0,3,1965,22.2,194.45,194.45,194.45,2
51,51,2009,11.0,office,976.0,3,19.0,26,2001,11.0,27549.28,27549.28,27549.28,3
52,52,2006,1.0,education,173.0,6,51.0,6,1999,10.1,1912.05,1912.05,1912.05,3
53,53,2006,12.0,commercial,157.0,6,12.0,3,1921,9.1,429.27,429.27,429.27,2
54,54,2007,2.0,factory,368.0,7,-7.0,1,1932,10.3,373.26,373.26,373.26,1
55,55,2012,9.0,factory,452.0,5,-7.0,2,1939,20.6,552.11,552.11,552.11,3
56,56,2012,8.0,residential,1085.0,5,37.0,7,1928,24.1,4870.5,4870.5,4870.5,3
