measure,year,month,sector,size,district,elevation,floors,built,tmp_min,tmp_mean,tmp_max,cost,source
0,2014,5.0,commercial,539.0,6,172.0,4,2009,23.2,29.1,35.1,4225.76,elec
1,2008,11.0,education,351.0,6,117.0,1,1979,13.8,19.2,24.8,274.2,gas
2,2014,10.0,commercial,301.0,7,12.0,2,1920,14.8,22.7,29.8,1112.99,oil
3,2012,12.0,commercial,372.0,6,55.0,3,1997,6.2,14.6,22.0,1113.99,gas
4,2014,7.0,residential,256.0,8,-7.0,19,2005,24.4,29.6,35.4,4456.75,elec
5,2013,6.0,residential,460.0,7,55.0,21,1967,26.4,30.6,34.0,7205.15,oil
6,2009,1.0,factory,520.0,7,117.0,2,1964,7.8,15.7,22.8,556.14,gas
7,2011,7.0,commercial,232.0,5,172.0,3,1976,20.8,30.9,36.1,883.84,gas
8,2011,9.0,office,399.0,5,37.0,15,1922,21.2,26.9,33.0,6404.91,elec
9,2013,9.0,office,741.0,2,55.0,9,2004,22.3,26.7,31.9,8627.02,elec
10,2008,4.0,office,279.0,6,12.0,18,1945,20.8,26.2,31.6,5905.87,elec
11,2006,9.0,factory,520.0,7,117.0,2,1964,19.3,25.7,30.7,1054.87,elec
12,2008,9.0,commercial,624.0,6,55.0,6,1978,18.4,26.5,34.6,4630.58,oil
13,2012,7.0,office,557.0,6,37.0,7,1925,23.6,30.7,38.6,5676.94,elec
14,2012,1.0,residential,924.0,7,203.0,25,1931,10.6,15.3,21.8,17046.76,gas
15,2014,7.0,commercial,596.0,1,337.0,6,1984,25.2,30.1,35.0,6448.24,elec
16,2012,1.0,residential,317.0,6,203.0,28,1999,10.3,15.8,22.7,9394.36,elec
17,2007,6.0,commercial,539.0,6,172.0,4,2009,26.1,31.8,,3549.64,elec
18,2008,2.0,office,1218.0,5,172.0,23,1959,14.2,20.0,26.4,32834.65,elec
19,2006,4.0,commercial,351.0,3,203.0,5,1946,19.1,27.6,34.9,143.96,gas
20,2005,9.0,,529.0,8,117.0,2,1938,19.6,26.2,30.9,2094.42,elec
21,2012,10.0,education,411.0,4,172.0,2,1949,15.5,22.3,28.0,611.57,gas
