,measure,year,month,sector,floor_size,district,elevation,floors,built,tmp_min,tmp_mean,tmp_max,cost,source,source_ord
0,0,2014,5.0,commercial,539.0,6,172.0,4,2009,23.2,29.1,35.1,4225.76,elec,1
1,1,2008,11.0,education,351.0,6,117.0,1,1979,13.8,19.2,24.8,274.2,gas,2
2,2,2014,10.0,commercial,301.0,7,12.0,2,1920,14.8,22.7,29.8,1112.99,oil,3
3,3,2012,12.0,commercial,372.0,6,55.0,3,1997,6.2,14.6,22.0,1113.99,gas,2
4,4,2014,7.0,residential,256.0,8,-7.0,19,2005,24.4,29.6,35.4,4456.75,elec,1
5,5,2013,6.0,residential,460.0,7,55.0,21,1967,26.4,30.6,34.0,7205.15,oil,3
6,6,2009,1.0,factory,520.0,7,117.0,2,1964,7.8,15.7,22.8,556.14,gas,2
7,7,2011,7.0,commercial,232.0,5,172.0,3,1976,20.8,30.9,36.1,883.84,gas,2
8,8,2011,9.0,office,399.0,5,37.0,15,1922,21.2,26.9,33.0,6404.91,elec,1
9,9,2013,9.0,office,741.0,2,55.0,9,2004,22.3,26.7,31.9,8627.02,elec,1
10,10,2008,4.0,office,279.0,6,12.0,18,1945,20.8,26.2,31.6,5905.87,elec,1
11,11,2006,9.0,factory,520.0,7,117.0,2,1964,19.3,25.7,30.7,1054.87,elec,1
12,12,2008,9.0,commercial,624.0,6,55.0,6,1978,18.4,26.5,34.6,4630.58,oil,3
13,13,2012,7.0,office,557.0,6,37.0,7,1925,23.6,30.7,38.6,5676.94,elec,1
14,14,2012,1.0,residential,924.0,7,203.0,25,1931,10.6,15.3,21.8,17046.76,gas,2
15,15,2014,7.0,commercial,596.0,1,337.0,6,1984,25.2,30.1,35.0,6448.24,elec,1
16,16,2012,1.0,residential,317.0,6,203.0,28,1999,10.3,15.8,22.7,9394.36,elec,1
17,17,2007,6.0,commercial,539.0,6,172.0,4,2009,26.1,31.8,,3549.64,elec,1
18,18,2008,2.0,office,1218.0,5,172.0,23,1959,14.2,20.0,26.4,32834.65,elec,1
19,19,2006,4.0,commercial,351.0,3,203.0,5,1946,19.1,27.6,34.9,143.96,gas,2
20,20,2005,9.0,commercial,529.0,8,117.0,2,1938,19.6,26.2,30.9,2094.42,elec,1
21,21,2012,10.0,education,411.0,4,172.0,2,1949,15.5,22.3,28.0,611.57,gas,2
22,22,2014,7.0,education,656.6619098651926,7,12.0,5,1983,27.7,31.8,39.5,2193.16,oil,3
23,23,2012,1.0,office,656.6619098651926,7,37.0,4,1991,9.0,15.7,22.9,1982.94,oil,3
24,24,2012,9.0,commercial,442.0,1,172.0,5,1953,23.0,27.8,32.0,3292.02,elec,1
25,25,2012,3.0,commercial,233.0,7,51.0,12,1949,16.5,23.4,31.1,3565.24,elec,1
26,26,2012,1.0,residential,1172.0,8,12.0,2,1997,9.9,15.0,18.9,1177.16,gas,2
27,27,2006,11.0,factory,595.0,7,37.0,1,1999,8.7,18.5,22.8,745.08,oil,3
28,28,2005,11.0,education,525.0,8,117.0,1,1993,11.1,19.1,26.8,855.19,elec,1
29,29,2006,12.0,commercial,776.0,7,117.0,3,2002,6.0,14.1,19.3,2323.81,gas,2
30,30,2014,12.0,commercial,831.0,8,172.0,2,1933,4.7,15.2,20.8,2758.02,oil,3
31,31,2014,6.0,commercial,437.0,1,-7.0,3,1960,24.6,30.1,36.1,1374.07,gas,2
32,32,2014,6.0,commercial,615.0,6,172.0,5,1998,24.5,30.1,34.4,2669.1,gas,2
33,33,2009,9.0,education,508.0,2,19.0,3,2006,20.9,26.7,33.0,1184.88,gas,2
34,34,2008,10.0,commercial,435.0,6,203.0,6,1925,19.4,23.4,28.1,1925.66,gas,2
35,35,2011,7.0,office,331.0,1,55.0,19,1964,25.4,31.4,36.2,6339.31,elec,1
