,year,month,sector,floor_size,district,elevation,floors,built,tmp_min,tmp_mean,cost,source,total_size,cost_per_meter
0,2014,5.0,1,539.0,6,172.0,4,2009,23.2,4225.76,4225.76,1,2156.0,1.9600000000000002
1,2008,11.0,2,351.0,6,117.0,1,1979,13.8,274.2,274.2,2,351.0,0.7811965811965812
2,2014,10.0,1,301.0,7,12.0,2,1920,14.8,1112.99,1112.99,3,602.0,1.8488205980066446
3,2012,12.0,1,372.0,6,55.0,3,1997,6.2,1113.99,1113.99,2,1116.0,0.9981989247311828
4,2014,7.0,3,256.0,8,-7.0,19,2005,24.4,4456.75,4456.75,1,4864.0,0.916272615131579
5,2013,6.0,3,460.0,7,55.0,21,1967,26.4,7205.15,7205.15,3,9660.0,0.7458747412008281
6,2009,1.0,4,520.0,7,117.0,2,1964,7.8,556.14,556.14,2,1040.0,0.53475
7,2011,7.0,1,232.0,5,172.0,3,1976,20.8,883.84,883.84,2,696.0,1.2698850574712643
8,2011,9.0,5,399.0,5,37.0,15,1922,21.2,6404.91,6404.91,1,5985.0,1.0701604010025063
9,2013,9.0,5,741.0,2,55.0,9,2004,22.3,8627.02,8627.02,1,6669.0,1.2936002399160293
10,2008,4.0,5,279.0,6,12.0,18,1945,20.8,5905.87,5905.87,1,5022.0,1.17599960175229
11,2006,9.0,4,520.0,7,117.0,2,1964,19.3,1054.87,1054.87,1,1040.0,1.0142980769230767
12,2008,9.0,1,624.0,6,55.0,6,1978,18.4,4630.58,4630.58,3,3744.0,1.2368002136752136
13,2012,7.0,5,557.0,6,37.0,7,1925,23.6,5676.94,5676.94,1,3899.0,1.4559989740959218
14,2012,1.0,3,924.0,7,203.0,25,1931,10.6,17046.76,17046.76,2,23100.0,0.7379549783549783
15,2014,7.0,1,596.0,1,337.0,6,1984,25.2,6448.24,6448.24,1,3576.0,1.8031991051454137
16,2012,1.0,3,317.0,6,203.0,28,1999,10.3,9394.36,9394.36,1,8876.0,1.0584001802613792
17,2007,6.0,1,539.0,6,172.0,4,2009,26.1,3549.64,3549.64,1,2156.0,1.6464007421150277
18,2008,2.0,5,1218.0,5,172.0,23,1959,14.2,32834.65,32834.65,1,28014.0,1.172080031412865
19,2006,4.0,1,351.0,3,203.0,5,1946,19.1,143.96,143.96,2,1755.0,0.08202849002849004
20,2005,9.0,1,529.0,8,117.0,2,1938,19.6,2094.42,2094.42,1,1058.0,1.9796030245746692
21,2012,10.0,2,411.0,4,172.0,2,1949,15.5,611.57,611.57,2,822.0,0.7440024330900243
22,2014,7.0,2,656.6619098651926,7,12.0,5,1983,27.7,2193.16,2193.16,3,3283.309549325963,0.667972351388628
23,2012,1.0,5,656.6619098651926,7,37.0,4,1991,9.0,1982.94,1982.94,3,2626.6476394607703,0.7549318645599079
24,2012,9.0,1,442.0,1,172.0,5,1953,23.0,3292.02,3292.02,1,2210.0,1.4896018099547512
25,2012,3.0,1,233.0,7,51.0,12,1949,16.5,3565.24,3565.24,1,2796.0,1.2751216022889842
26,2012,1.0,3,1172.0,8,12.0,2,1997,9.9,1177.16,1177.16,2,2344.0,0.5022013651877133
27,2006,11.0,4,595.0,7,37.0,1,1999,8.7,745.08,745.08,3,595.0,1.2522352941176471
28,2005,11.0,2,525.0,8,117.0,1,1993,11.1,855.19,855.19,1,525.0,1.6289333333333333
29,2006,12.0,1,776.0,7,117.0,3,2002,6.0,2323.81,2323.81,2,2328.0,0.9982001718213058
30,2014,12.0,1,831.0,8,172.0,2,1933,4.7,2758.02,2758.02,3,1662.0,1.6594584837545125
31,2014,6.0,1,437.0,1,-7.0,3,1960,24.6,1374.07,1374.07,2,1311.0,1.0481083142639207
32,2014,6.0,1,615.0,6,172.0,5,1998,24.5,2669.1,2669.1,2,3075.0,0.868
33,2009,9.0,2,508.0,2,19.0,3,2006,20.9,1184.88,1184.88,2,1524.0,0.77748031496063
34,2008,10.0,1,435.0,6,203.0,6,1925,19.4,1925.66,1925.66,2,2610.0,0.737800766283525
35,2011,7.0,5,331.0,1,55.0,19,1964,25.4,6339.31,6339.31,1,6289.0,1.0079996819844173
36,2005,5.0,5,956.0,2,51.0,13,2002,24.2,11196.39,11196.39,3,12428.0,0.900900386224654
37,2012,10.0,5,956.0,2,51.0,13,2002,17.1,9760.58,9760.58,3,12428.0,0.7853701319600901
38,2013,12.0,4,987.0,5,203.0,2,1934,7.7,1659.82,1659.82,1,1974.0,0.8408409321175279
39,2012,9.0,2,299.0,6,37.0,5,1936,19.6,1496.01,1496.01,3,1495.0,1.000675585284281
40,2006,4.0,4,323.0,5,117.0,3,1963,19.0,659.21,659.21,2,969.0,0.6802992776057792
41,2014,6.0,5,258.0,4,117.0,11,1950,25.4,4004.99,4004.99,1,2838.0,1.4112015503875968
42,2010,9.0,2,911.0,5,172.0,1,1986,21.4,853.12,853.12,3,911.0,0.9364654226125138
43,2008,12.0,1,524.0,6,117.0,3,1929,9.8,3035.59,3035.59,3,1572.0,1.9310368956743003
44,2006,5.0,1,442.0,1,172.0,5,1953,22.0,3638.54,3638.54,1,2210.0,1.646398190045249
45,2011,12.0,2,837.0,5,203.0,3,1934,9.9,2608.92,2608.92,2,2511.0,1.0389964157706093
46,2006,5.0,1,129.0,1,337.0,2,1952,24.5,270.41,270.41,2,258.0,1.0481007751937985
47,2008,11.0,3,486.0,2,-7.0,17,2006,11.9,10993.09,10993.09,1,8262.0,1.3305603969983055
48,2008,10.0,1,157.0,6,12.0,3,1921,19.9,583.69,583.69,3,471.0,1.2392569002123144
49,2012,11.0,1,184.0,4,-7.0,2,1926,13.6,549.5,549.5,3,368.0,1.4932065217391304
50,2011,8.0,5,968.0,3,-7.0,3,1965,22.2,194.45,194.45,2,2904.0,0.06695936639118456
51,2009,11.0,5,976.0,3,19.0,26,2001,11.0,27549.28,27549.28,3,25376.0,1.0856431273644387
52,2006,1.0,2,173.0,6,51.0,6,1999,10.1,1912.05,1912.05,3,1038.0,1.8420520231213873
53,2006,12.0,1,157.0,6,12.0,3,1921,9.1,429.27,429.27,2,471.0,0.9114012738853503
54,2007,2.0,4,368.0,7,-7.0,1,1932,10.3,373.26,373.26,1,368.0,1.0142934782608695
55,2012,9.0,4,452.0,5,-7.0,2,1939,20.6,552.11,552.11,3,904.0,0.6107411504424779
56,2012,8.0,3,1085.0,5,37.0,7,1928,24.1,4870.5,4870.5,3,7595.0,0.6412771560236998
